44;DAPELLO;HECTOR R. AV. SOLIS Y BELGRANO 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;23-07689673-9;0;0;0;0;0
45;DISTRIB.;DORREGO 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;88-88888888-8;0;0;0;0;0
46;EDIFICIO;LARA III 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;44-44444444-4;0;0;0;0;0
47;EDUARDO;ADJEL Y OTROS S.H. CORDOBA 535 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-51968229-6;0;0;0;0;0
48;EFECON;S.R.L SAN MARTIN 623 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-56236892-4;0;0;0;0;0
49;EL;CARDENAL AV. COLON 442 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;20-08054441-4;0;0;0;0;0
50;EMPRESA;SALLES S.R.L AV.GUEMES 650 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-66803953-3;0;0;0;0;0
52;FAGAL;CORRIENTES 1862 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-56354458-5;0;0;0;0;0
53;FARMACIA;LA UNION S R L SAN MARTIN 623 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-56248643-3;0;0;0;0;0
54;FECUNDA;AFJP S.A. 9 DE JULIO 1297 - MENDOZA 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-67638833-4;0;0;0;0;0
55;FEGRA;S.A ALVARADO Y PELLEGRINI 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-58129959-8;0;0;0;0;0
57;FERNANDEZ;JOSE LUIS-AEROCARGAS AV. MATE DE LUNA 4467 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-56721164-5;0;0;0;0;0
58;FERNANDEZ;Y CIA SRL - POSTA SAN LUIS 115 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-65721164-5;0;0;0;0;0
59;FERNANDO;WAISMAN CHACABUCO 18 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-56329771-5;0;0;0;0;0
60;FERULLO;Y CIA 25 DE MAYO Y MENDOZA 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-52619331-4;0;0;0;0;0
61;ITALO MANERA (F.DANICA);AV.COLON 1108 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-50060957-1;0;0;0;0;0
